,tweets,likes,location
0,"@AITraderGlobal Very brilliant &amp; interesting project. I'm really excited for this airdrop it's community is fast growing. This has definitely huge potential as well. And I hope this project to the moon sir. Good project  

@sanuoluwa147 
@paszaBiceps",0,Abuja
1,"Men really love the mean girls. And I’m super super glad Zack got dealt the card he got. 

Very good for you. Rubbish. And I PRAY Bliss doesn’t take him back. Rubbish.",0,"Abuja, Nigeria"
2,@khadijaarrh U really did a very good job dear,0,"Jos, Nigeria"
3,"@AITraderGlobal Very brilliant &amp; interesting project. I'm really excited for this airdrop it's community is fast growing. This has definitely huge potential as well. And I hope this project to the moon sir. Good project 

@Bitfine_
@danawallet 
@TrustWallet 
@SalvationCrypt",3,"Abuja,Nigeria"
4,"@NastyBlaq Thank you very much @NastyBlaq  even though I'm not lucky enough but I really appreciate for the sake of others.. I hope I will be rich to do what u did yesterday or even benefit from what you did.. you are a good person

2023842959
KUda Bank..... You're a good man @NastyBlaq",0,"Abuja, Nigeria"
5,"@brownelixir It’s so good. Bar Insecure, I can’t think of a black tv show that comes close. You should really watch the whole thing. You’ll be very satisfied when you’re done.",0,
6,"@silasadedoyin @Abiodun0x 1. It’s very possible he flew in yesterday but there’s really no way to tell. 

2. Yeah. He’s has some issues with his leg. 

Also, all the conspiracy flying around is actually good - it’ll keep everyone on their toes. I just don’t buy into them especially when there aren’t…",0,"Abuja, Nigeria"
7,"even after such a traumatic near death experience at a very young age and other ICU cases, Eminem decided to abstain from all his vices that almost cost him his life to take very good care of himself and since then he has been doing really well.

Ps: I still I love them both 🐐🐐",0,"Abuja, Nigeria"
8,"@JefferyAnkamah @phil_Adesh @AkosuaAmpofowah Going through all your responses under this thread, aside that I really loved how you took out time to elucidate &amp; shed some 'good' light on the subject of discuss, one other thin' that caught my fancy was your masterly display of a very high level of emotional control as you",2,Federal Capital Territory
9,@con2etal 😂 the man dey give me joy shaa..I really hope something very good comes out of all this,1,"Abuja, Nigeria"
10,"@jon_d_doe @teejay347t ""Very ideal o. Obviously, you are the best because she couldn't find anyone like you again. 

She's really madly in love with you, that's why she had to come back. Please, take her to see your family ASAP. She's definitely going to make a good wife. She's got all the qualities.""",1,"Abuja, Nigeria"
11,@xygort Exactly. I really love hometown. It makes me feel very nostalgic which is good and bad for me 😅,0,"Abuja, Nigeria"
12,"Really, it pays very well to govern well, I just wonder why some politicians will choose to be incompetent while on seat and then tend to be rascals later on in order to win election again. Congratulations Zulum and Good people of Borno, I hope others are learning how to serve.",0,"Abuja, Nigeria"
13,"My G, you’re always a good commander @zaMusbeyNe_ you really fought well until the very end. Your camp must be proud of you. 

Allah kawo babban rabo!",60,"Kaduna, Nigeria"
14,"@Naija_PR @cool_yaks This is very good coming from the governor. Civil servants really turned up for him and it’s good to see him appreciate their support. With this, Lagos is now paying more than FG and all states in the federation. Lagos leads, others follow. Eko oni Baje.",14,Abuja
15,"@dashofPinknLove @Tofunmi_eb @mytakesbbn6 And now he’s obsessed with someone else, my dear, if not that Olibang is a very good fanbase &amp; they said it’s a “friend-ship”, it’s really would have just been a stupid ship.",1,"Abuja, Nigeria"
16,@Feyisparkles @stgorzhye Very good so the Exodus will properly begin. I really like it,12,"Abuja, Nigeria"
17,"@Sir_Fin @TousenCollins That Ihenacho bit is annoying tbh.
If we look at those players, they really aren't very creative. We've not had a good creative midfielder in ages.",0,"Abuja, Nigeria"
18,@DarrenBent The VAR is very inconsistent and it's not really done too many good since the same mistakes are being made by the same humans who control them.,0,"Jos, Nigeria"
19,"@WoleOluyemiCo I am really sorry bit this prayer does not work. Just look at all the politicians that have put us in this mess, they are living a very good life.  Look at the bad leaders all over the world, they age quite well with their children enjoying their wealth.",0,"Abuja, Nigeria"
20,"@renoomokri Your coming back to Nigeria will really take a very long time, I really feel your pain, currently on exile.
It's a pity Sir.",69,"Abuja, Nigeria"
21,"Phyna needs a really good manager because whoever is managing her is doing a very bad job aunty talks too much always responding to everything, r",0,"Abuja, Nigeria"
22,I’ve seen 2 episodes of Swarm and it’s really good. Honorable mention for Chloe’s acting because she did very well,2,"Abuja, Nigeria"
23,"Those songs are actually some of the most difficult songs. Only really good singers attempt singing them.

An example is ""I will always love you"" by Whitney Houston of blessed memory. There are very few inconspicuous beaks which are windows to take in breath. If you miss them,",0,"Abuja, Nigeria"
24,"@emytelli @RandaAndrew @NGSuperEagles I get ur point, I think the coach wants to go them a chance of progression, at least this is a qualifier, it's not a competition yet. The two guys from u20, are really really very good tho",1,"Abuja, Nigeria"
25,"Carbbean Vanilla (#2500)
This is one mix of chocolate, Coffee and Vanilla. If you are on a budget, This is a very good option. It smells really sweet with a moderate longevity and projection. Layer this with chocolate musk and thank me Later. https://t.co/sibckbImlQ",2,"Lagos, Nigeria"
26,"@BonomiSeverino The PR these days is really good, especially 3 year olds. Very cute
PS: I still fear having them",0,"Abuja, Nigeria"
27,"@MisterEriki My Agric Teacher in Sec School; Mr Alao, very calm human being. It was never my best subject but I did really good.",4,⬇️ Build Your Audience
28,"To those who vote for my boss @Dattijo, send us prayers/good wishes, who call, text to sympathize with us.
I really appreciate, I feel the love and support.
We run a very good race against many odds(internal party crisis, presidency fighting the party etc.) but Alhamdulilah.🙏🏾 https://t.co/lEh4EtbLxk",33,"Kaduna/Katsina,  Nigeria"
29,This is very sad and something I really wish will turn out untrue. Steve is so great good guy to go nah. God please help us.,0,Abuja
30,"@metuchizzy Good Morning sir...I’m very sorry to bump into your dm, I’m kolawole, I’m really in need of your help, i stay in lagos usually but i was posted to abuja for nysc september 2021, I have no family here, after my 3wks in camp , a church gave me a flier and said they were giving free",0,
31,"It been a long year 2022 so many ups and downs, I really wanna wish u all a very good happy new year and what ever you didn’t achieved last year 2022 you shall achieve it this year 2023 i pray fr you n me too, My EP drops on Friday
Genesis of Nykzeey Light ❤️ https://t.co/NQLIkseIHj",1,Nigeria
32,@digitalskillsaf Thank you very much. We're so much excited. We really appreciate! Keep up the good work. 👍,1,
33,"Y’all should celebrate LEO, he deserves this he has worked his ass this far, he plays a very good football, he Carries everybody along don’t be a hater..!!
 I’m also a Ronaldo fan but at this point he deserves your congratulations, 🎊 if you are really a footy fan 👌💯
GRACIAS 🤝",0,"Stamford Bridge, England"
34,"@Theseun__ Very thoughtful of you, I really would love to participate but since I am not in Lagos, I will give my windows might. keep this good heart of yours our world needs it.",0,Nigeria
35,"My country  pi pu all your cries  has  gotten to my hears  as regarding  the new N1000, N500 and N200 notes, I apologize on behave of our government in this respect for those of u that really hated the new design.
Am very good in Corel draw I will help u design a more appealing",1,"Federal Capital Territory, Nig"
36,"@1OfficialEugene Honestly I can’t really tell, every photographer have their price tag, I know some who charge 800-1k per picture(very good pictures though), so it’s possible😎😂",1,"Jos, Plateau State."
37,"Good morning Happy New Month
Am Bishop by name.
This is my talent, I am very good in football but I don't have anybody to help or to sponsor me to achieve all my goals. I really need your help, thank you and God bless 🙏 🙏🙏
Please one more thing have you getting your PVC https://t.co/qkNqXdZXD0",1,
